"Restaurant ID","Restaurant name","Subzone","City","Overview","Metric","15 Jun, 2026"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","Lunch orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","Snacks orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","Dinner orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Customer segmentation","Late night orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Ads","Sales from ads (Rs)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Ads","Ads CTR (%)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Ads","Ads impressions","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Ads","Ads menu opens","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Ads","Ads orders","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Ads","Ads spend (Rs)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Ads","Ads ROI","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Offers","Orders with offers","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Offers","Gross sales from offers (Rs)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Offers","Discount given (Rs)","0"
"22349810","Ustad Beliram Mutton Waale","Sector 61","Delhi NCR","Offers","Effective discount (%)","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Sales","Delivered orders","12"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Sales","Sales (Rs)","7093.7099609375"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Sales","Market share (%)","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Average rating","3.7611000537872314"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Rated orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Bad orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Rejected orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","KPT+10 delayed orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Poor rated orders","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Total complaints","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Non-refunded complaints","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Total complaints - Poor packaging","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Total complaints - Poor quality","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Total complaints - Wrong order","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Total complaints - Missing items","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Self logs other ors","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Lost sales (Rs)","0"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Online %","100"
"22467614","Kake Di Hatti","Krishna Nagar","Delhi NCR","Customer experience","Offline time (in hours)","0"
